# Real team-pointer table, transcribed from carky12's "Punteros Equipos.pdf"
# (jandro996/EditorPCFutbol6 repo, Manuales/Punteros Equipos.pdf).
# Community reference data (4-digit decimal pointer -> team name/country),
# not proprietary Dinamic game content -- see PLAN.md Appendix C / §9 and
# fixtures/README.md. Confirms pointers/team_filename's EQ97+pointer
# convention: e.g. Boca = 9013 -> EQ979013.DBC (already implemented in
# crates/pcf-model/src/pointers.rs).
pointer,name,country
0001,Barcelona,España
0002,Depor,España
0003,Zaragoza,España
0004,R. Madrid,España
0005,Athletic,España
0006,Sevilla,España
0007,Valencia,España
0008,Racing,España
0009,Oviedo,España
0010,Tenerife,España
0011,R. Sociedad,España
0012,At. Madrid,España
0013,Albacete,España
0014,Sporting,España
0015,Celta,España
0016,Logroñés,España
0017,Valladolid,España
0018,Espanyol,España
0019,Betis,España
0020,Compostela,España
0021,Rayo,España
0022,Lleida,España
0023,Osasuna,España
0024,Toledo,España
0025,Mallorca,España
0026,R. Madrid B,España
0027,Hércules,España
0028,Barcelona B,España
0029,Mérida,España
0030,Eibar,España
0031,Badajoz,España
0032,Marbella,España
0033,Palamós,España
0034,Athletic B,España
0035,Leganés,España
0036,Villarreal,España
0037,Getafe,España
0038,Salamaca,España
0039,Orense,España
0040,Extremadura,España
0041,Ferrol,España
0042,Mensajero,España
0043,Las Palmas,España
0044,Pontevedra,España
0045,Langreo,España
0046,Moscardó,España
0047,S. Sebastián de los Reyes,España
0048,Alavés,España
0049,Sestao,España
0050,Almería,España
0051,Écija,España
0052,Numancia,España
0053,Avilés,España
0054,Beasaín,España
0055,Levante,España
0056,Lugo,España
0057,Real Unión,España
0058,Izarra,España
0059,Lemona,España
0060,Palencia,España
0061,Gramenet,España
0062,Castellón,España
0063,Manlleu,España
0064,Elche,España
0065,Andorra,España
0066,Alcoyano,España
0067,Córdoba,España
0068,Real Jaén,España
0069,Talavera,España
0070,Yeclano,España
0071,Xerez,España
0072,Cádiz,España
0073,Móstoles,España
0074,Aranjuez,España
0075,Amurrio,España
0076,Barakaldo,España
0077,Bermeo,España
0078,Tudelano,España
0079,Figueres,España
0080,Sabadell,España
0081,Hospitalet,España
0082,Terrassa,España
0083,Benidorm,España
0084,Melilla,España
0085,Granada,España
